Cliente;Login;Endereco;Numero;Bairro;Cidade;Estado
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ELESBAO_VELOSO;; CENTRO; ELESBAO VELOSO; PI;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CASTELO_DO_PIAUI;RUA FELIX PACHECO; ; CENTRO; CURIMATA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_BURITI_DOS_LOPES;RUA EPAMINONDAS CASTELO BRANCO;119; CENTRO; BURITI DOS LOPES; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_JOAO_CAMARA;RUA SETE DE SETEMBRO;70; CENTRO; JOAO CAMARA; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_JOAO_CAMARA;RUA SETE DE SETEMBRO;70; CENTRO; JOAO CAMARA; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_GOIANINHA;RUA VIGARIO ANTONIO MONTENEGRO;85; CENTRO; GOIANINHA; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_GOIANINHA;RUA VIGARIO ANTONIO MONTENEGRO;85; CENTRO; GOIANINHA;
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_DEDICADO_PC_FRONTEIRAS;AVENIDA SETE DE SETEMBRO;1161; CENTRO; FRONTEIRAS; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_FRONTEIRAS;AVENIDA SETE DE SETEMBRO;1161; CENTRO; FRONTEIRASS; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_ESPERANTINA;AVENIDA MINISTRO PETRONIO PORTELA;1867; CENTRO; ESPERANTINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_ESPERANTINA;AVENIDA MINISTRO PETRONIO PORTELA;1867; CENTRO; ESPERANTINA; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_CORRENTE;RUA BENJAMIM NOGUEIRA;999; CENTRO; CORRENTE;PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CORRENTE;RUA BENJAMIM NOGUEIRA;999; CENTRO; CORRENTE; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CARAUBAS;RUA JOAO GOMES DE OLIVEIRA;274; CENTRO; CARAUBAS; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_BANDA_LARGA_PC_CARAUBAS;RUA JOAO GOMES DE OLIVEIRA;274; CENTRO; CARAUBAS; RN
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CAMPO_MAIOR_RODOVIARIA;RUA SANTO ANTONIO;552; CENTRO; CAMPO MAIOR; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_B_LARGA_PC_CAMPO_MAIOR_RODOVIARIA;RUA SANTO ANTONIO;552; CENTRO; CAMPO MAIOR; PI
BANCO DO NORDESTE DO BRASIL S.A.;REDE_WAN_DEDICADO_PC_CAICO_SANTANA;AVENIDA DOUTOR RUI MARIZ;642; BOA PASSAGEM; CAICO; RN
